source,path,size_bytes,sha256_16
thaumcraftreboot-main_1192,web/src/App.css,311,3b77f4a8cf629ac5
thaumcraftreboot-main_1192,web/src/App.test.tsx,273,1f0914ca057e7991
thaumcraftreboot-main_1192,web/src/App.tsx,346,d8f89bf9324fb590
thaumcraftreboot-main_1192,web/src/assets/img/logo.png,185200,34c8ccd7daa43ae8
thaumcraftreboot-main_1192,web/src/index.css,366,daf22c296c801d3d
thaumcraftreboot-main_1192,web/src/index.tsx,554,3406039f2208d02e
thaumcraftreboot-main_1192,web/src/logo.svg,2632,6000b0e9b0b05b3f
thaumcraftreboot-main_1192,web/src/react-app-env.d.ts,40,57eda4c4c04a1dca
thaumcraftreboot-main_1192,web/src/reportWebVitals.ts,425,fa208d5a5ab6d20b
thaumcraftreboot-main_1192,web/src/setupTests.ts,241,22583759d0045fdf
thaumcraftreboot-main_1192,web/tsconfig.json,535,cb9cee8200f8070c
thaumcraft-reboot-fbe41a_1192,.gitattributes,256,448fc4f5b88765df
thaumcraft-reboot-fbe41a_1192,.github/workflows/azure-static-web-apps-icy-sea-0749f7a1e.yml,1789,37a9e082073df941
thaumcraft-reboot-fbe41a_1192,.gitignore,188,efc7995172c172d5
thaumcraft-reboot-fbe41a_1192,CREDITS.txt,3317,7be4dedbc5b2f093
thaumcraft-reboot-fbe41a_1192,LICENSE,1071,19ef4cb947dbc743
thaumcraft-reboot-fbe41a_1192,LICENSE.txt,27732,481c96d94d182382
thaumcraft-reboot-fbe41a_1192,README.md,19,5b1e702c01601f26
thaumcraft-reboot-fbe41a_1192,README.txt,2299,106dd03fa41a8667
thaumcraft-reboot-fbe41a_1192,build.gradle,9748,c068e44d6b6eca1f
thaumcraft-reboot-fbe41a_1192,changelog.txt,58591,694ddc5174db2896
thaumcraft-reboot-fbe41a_1192,gradle/wrapper/gradle-wrapper.jar,61574,c5a643cf80162e66
thaumcraft-reboot-fbe41a_1192,gradle/wrapper/gradle-wrapper.properties,223,b243c1bff7aa841e
thaumcraft-reboot-fbe41a_1192,gradle.properties,3436,ed941a704928cd41
thaumcraft-reboot-fbe41a_1192,gradlew,8497,638c2862d623c302
thaumcraft-reboot-fbe41a_1192,gradlew.bat,2776,18774a0ac0203f68
thaumcraft-reboot-fbe41a_1192,settings.gradle,277,626f0e1b1bce434e
thaumcraft-reboot-fbe41a_1192,src/main/java/net/bleachlizard/thaumcraft/Config.java,2774,fabf63d259b15e4f
thaumcraft-reboot-fbe41a_1192,src/main/java/net/bleachlizard/thaumcraft/Thaumcraft.java,6568,7ce4a0dee9f11072
thaumcraft-reboot-fbe41a_1192,src/main/resources/META-INF/mods.toml,4701,55694ef8a200992a
thaumcraft-reboot-fbe41a_1192,src/main/resources/pack.mcmeta,105,69e4b68244905468
