record_type,port_path,status,classification,priority,sha1,sha256,reference_count,original_paths,notes,width,height,mode,bit_depth_estimate,has_alpha,alpha_min,alpha_max,transparent_pixels,partial_alpha_pixels,parse,frametime,interpolate,explicit_frames,frame_spec
PORT,aspects/lucrum.png,MATCH,EXACT_TC4_COPY,P2,5f9dabfeb05cbf7b0d992adf2c617cad684aa830,67b4c20bcace1102c6355cecbf4e68399b1e27f535c99fe5af455c8b71b107c1,3,textures/aspects/lucrum.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,0,255,363,448,,,,,
PORT,aspects/lux.png,MATCH,EXACT_TC4_COPY,P2,ef27afedd11ef37341cb8dff0ecbb10e73779113,ef6d5a8e5515e211bcfd064edba0e457b9900871c4e6252c24cac541f85b9a45,3,textures/aspects/lux.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,0,255,536,330,,,,,
PORT,aspects/machina.png,MATCH,EXACT_TC4_COPY,P2,b401621958ad1333e9fd8350376e1006b98a65e8,3409397b36185559bd107e974d81f67700d6ed73aaf20bc278693ab74fac2725,3,textures/aspects/machina.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,0,255,262,473,,,,,
PORT,aspects/messis.png,MATCH,EXACT_TC4_COPY,P2,df28ab758685eea28328cea925fefb1723c2eb33,57ac8e9765539d37f48540ec2561f3412e08ac34830310509032a0c3b1a1e39f,3,textures/aspects/messis.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,0,255,117,826,,,,,
PORT,aspects/metallum.png,MATCH,EXACT_TC4_COPY,P2,9256be822a7ffc776d7ba1ed46cad89ec52c8f13,c6a10dfa60af0810f3d24c57c78d412fc26f0c1bcf8598384ce01ea6a081a843,3,textures/aspects/metallum.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,0,255,428,425,,,,,
PORT,aspects/meto.png,MATCH,EXACT_TC4_COPY,P2,787ee8d1e3865e027be820af9648f8903d645289,6788bb14810d909006c99c6aa7ad9154f1ee1105f2c5303e103327caf16f1c16,3,textures/aspects/meto.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,0,255,478,410,,,,,
PORT,aspects/mortuus.png,MATCH,EXACT_TC4_COPY,P2,db71435c833eee56ddcfb943a4447def799fbfbe,886cee2a8d9c7b1e02d4a583439f520c859290ac52b61c29f2fab7675bb96df2,3,textures/aspects/mortuus.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,0,255,116,679,,,,,
PORT,aspects/motus.png,MATCH,EXACT_TC4_COPY,P2,69a344d364bd6cc4f4041a4e93463e910d8efcfd,add6a0cc3a006885872a3242b3c1d835cb800a2fc8b0150859649938bc27d4a4,3,textures/aspects/motus.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,0,255,33,836,,,,,
PORT,aspects/ordo.png,MATCH,EXACT_TC4_COPY,P2,5ca60b54053740b26d1910ee4b550d98f915ed88,5da1027cdcea8d1d4d922601d953bb4310bed5543b36d74bb07a9f6588bd22d5,3,textures/aspects/ordo.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,0,255,94,865,,,,,
PORT,aspects/pannus.png,MATCH,EXACT_TC4_COPY,P2,4159dbecf88b494696ffd7a1f9b12bb6fb84ad90,dffd125eae2bcb295fe39eb5ac7fd3ce15272bf46530c37adf64dd5b5b38ac39,3,textures/aspects/pannus.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,0,255,306,411,,,,,
PORT,aspects/perditio.png,MATCH,EXACT_TC4_COPY,P2,6713095e94168fffc0d2ad686248b321219e2e1b,dc539741d87f377b704a738b9cb6ad09acbf7735fce829fe4e100a16f2830a21,3,textures/aspects/perditio.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,0,255,99,671,,,,,
PORT,aspects/perfodio.png,MATCH,EXACT_TC4_COPY,P2,2ad8ae2a193175542fe46af562ccc9bf5cf4f7d0,62d2d4069a13ea488d1592c9babfef16688a14c23eb32c4f03d2ca2f7a749f21,3,textures/aspects/perfodio.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,0,255,99,709,,,,,
PORT,aspects/permutatio.png,MATCH,EXACT_TC4_COPY,P2,c019effd436d445fc22c3bc70a31fbc11ba01901,d05161c9f804efaf3826e9c878604c84bc9eb04cbbf63710e2ef693bd4f9ad6b,3,textures/aspects/permutatio.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,0,255,234,555,,,,,
PORT,aspects/potentia.png,MATCH,EXACT_TC4_COPY,P2,8d993508b1265eb11c8801a0a89924f4b4845175,4fcaeacc7674d71717d7f578ce7bd2b5568e26f9a3ddd550585b2ab6b3eb4b48,3,textures/aspects/potentia.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,0,255,378,511,,,,,
PORT,aspects/praecantatio.png,MATCH,EXACT_TC4_COPY,P2,daacd782bdd66d6330f85d3354cf18f33164cb4d,bf3f176b7926c4b5c9d9f1d51ae9e96b2df4be7b084f70f902018476a8cae990,3,textures/aspects/praecantatio.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,0,255,283,618,,,,,
PORT,aspects/sano.png,MATCH,EXACT_TC4_COPY,P2,6c85a7c6d95ca6affac9e2f138cffdce9a49e15d,8151762b36609198d46bc2ec6c5713cea5be07cb5cb73443d060cda4d3427df2,3,textures/aspects/sano.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,0,255,369,460,,,,,
